code, nom,latitude,longitude
2501,"CAEN",49.141419588554434,-0.38080429811817273
2505,"VIRE",48.905203065189617,-0.81902962708390403
2402,"VIERZON",47.220321791619959,2.087037361929363
8305,"SAINT FLOUR",45.076310564700506,2.982796121122461
8310,"MAURIAC",45.241263430372179,2.4753013198568024
5403,"CONFOLENS",45.934236385689012,0.6166255669110311
5418,"SAINTONGE INT-COGNACAIS B",45.551058337471027,-0.18816767050337058
2606,"LE CREUSOT",46.796040198884114,4.4381189758501041
5401,"ANGOULEME",45.690078836896724,0.17407271124967877
5221,"ANCENIS",47.457399897584885,-1.2133650435793928
5417,"SAINTONGE INT-COGNACAIS A",45.656731703794783,-0.47556115020285705
5404,"LA ROCHELLE",46.181043081446816,-0.94756127496424736
5405,"SAINTONGE MARITIME",45.794904095924764,-0.9973564997968315
