code, nom,latitude,longitude
2305,"Dieppe - Caux maritime",49.841525919201878,1.0637544830496259
3115,"Valenciennes",50.377628877703124,3.4686660149461948
2306,"Le Havre",49.602191287787676,0.41671080586071768
2401,"Bourges",47.043948540761598,2.5289943131315522
2406,"Dreux",48.712965551044853,1.313364104999055
2307,"Rouen",49.496787065649883,1.1576744933879808
2402,"Saint-Amand-Montrond",46.688089542905374,2.5101504373286105
2403,"Vierzon",47.249292622704822,2.0785830303169681
2411,"Loches",47.112302348250154,1.1013638134576149
2404,"Chartres",48.395000762414931,1.3924747991726805
2405,"Châteaudun",48.056191741385298,1.2747977808450088
2409,"Châteauroux",46.729903377813137,1.6066555972386625
2410,"Chinon",47.191479035045546,0.21992650630964364
2412,"Tours",47.314714781598681,0.66272317415672555
2501,"Bayeux",49.282349831279468,-0.86525341216098561
